,company_name,address,tel,mech
482,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด สาขาไทวัสดุ พระราม 2,268/2 ถ.พระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,มี
483,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาหนองจอก),97 ถ.เลียบวารี แขวงกระทุ่มราย เขตหนองจอก กรุงเทพมหานคร 10530,02-103-3333,มี
484,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขากาญจนบุรี),111 หมู่ 9  ต.ปากแพรก อ.เมืองกาญจนบุรี จ.กาญจนบุรี 71000,,มี
485,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาขอนแก่น),224 หมู่ 1  ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,มี
486,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขามิตรภาพ ขอนแก่น),290/2 หมู่ที่ 17 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,มี
487,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาจันทบุรี),999 หมู่ 2  ต.ท่าช้าง อ.เมืองจันทบุรี จ.จันทบุรี 22000,,มี
488,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาฉะเชิงเทรา),99 หมู่ 2  ต.โสธร อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,,มี
489,บริษัท บุญถาวรเซรามิค จำกัด สาขาพัทยา,88/8 หมู่ที่ 9 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,038-052201-22,มี
490,บริษัท บุญถาวรเซรามิค จำกัด สาขาสัตหีบ,88 หมู่ที่ 6 ต.บางเสร่ อ.สัตหีบ จ.ชลบุรี 20250,02-657-1106,มี
491,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาพัทยา),565/66 หมู่ที่ 10 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,,มี
492,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาชลบุรี),413/81 หมู่ที่ 5  ต.บ้านสวน อ.เมืองชลบุรี จ.ชลบุรี 20000,,มี
493,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาพัทยาใต้),80/3 หมู่ที่ 12  ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,,มี
494,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาศรีราชา),92/10 หมู่ที่ 10 ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20230,,มี
495,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาอมตะนคร),103/69 หมู่ที่ 12 ต.นาป่า อ.เมืองชลบุรี จ.ชลบุรี 20000,,ไม่มี
496,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาเชียงราย),99/20 หมู่ที่ 13  ต.สันทราย อ.เมืองเชียงราย จ.เชียงราย 57000,,มี
497,บริษัท บุญถาวรเซรามิค จำกัด สาขาเชียงใหม่,246 หมู่ที่ 2  ต.หนองผึ้ง อ.สารภี จ.เชียงใหม่ 50140,,มี
498,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาเชียงใหม่),111 หมู่ 1  ต.ไชยสถาน อ.สารภี จ.เชียงใหม่ 50140,,มี
499,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาเชียงใหม่ แอร์พอร์ต),201 หมู่ที่ 7  ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50200,,มี
500,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาตรัง),7/4 หมู่ 7 ต.บ้านโพธิ์ อ.เมืองตรัง จ.ตรัง 92000,,มี
501,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาตาก),234 หมู่ 1 ต.แม่ท้อ อ.เมืองตาก จ.ตาก 63000,,มี
502,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาศาลายา),8 หมู่ 1  ต.ทรงคนอง อ.สามพราน จ.นครปฐม 73210,,มี
503,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขานครปฐม),200 หมู่ที่ 9 ต.ลำพยา อ.เมืองนครปฐม จ.นครปฐม 73000,,มี
504,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขานครราชสีมา),475 หมู่ที่ 1 ต.ปรุใหญ่ อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,,มี
505,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาปากช่อง),7 หมู่ที่ 11 ต.หนองน้ำแดง อ.ปากช่อง จ.นครราชสีมา 30130,,มี
506,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขานครศรีธรรมราช),162 หมู่ที่ 18 ต.ท่าเรือ อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,,ไม่มี
507,บริษัท บุญถาวรเซรามิค จำกัด สาขาราชพฤกษ์,8/8 หมู่ที่ 4 ต.บางรักน้อย อ.เมืองนนทบุรี จ.นนทบุรี 11000,,มี
508,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขารัตนาธิเบศร์),68/100 ห้างเซ็นทรัลรัตนาธิเบศร์ ชั้น 1 ม.8 ถ.รัตนาธิเบศร์ ต.บางกระสอ อ.เมืองนนทบุรี จ.นนทบุรี 11000,,มี
509,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาราชพฤกษ์),111 หมู่ 5 ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130,,มี
510,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาบางบัวทอง),59/9 หมู่ 1 ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110,,มี
511,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาแจ้งวัฒนะ),78 หมู่ที่ 4 ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120,,มี
512,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาชัยพฤกษ์),46/21 หมู่ที่ 5 ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120,,มี
513,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาบ้านแอนด์บียอนด์ โลตัสบางใหญ่),90 หมู่ที่ 5 ต.บางคูเวียง อ.บางกรวย จ.นนทบุรี 11130,02-103-3333,ไม่มี
514,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาบุรีรัมย์),55 หมู่ 1  ต.บ้านบัว อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,,มี
515,บริษัท บุญถาวรเซรามิค จำกัด,23 หมู่ที่ 3 ถ.พหลโยธิน ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,02-6931108-17,มี
516,บริษัท บุญถาวรเซรามิค จำกัด สาขาศูนย์กระจายสินค้ารังสิต,19/112 หมู่ที่ 3 ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,02-657-1106,มี
517,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขารังสิต),94 อาคารฟิวเจอร์พาร์ครังสิต ชั้นบีเอฟ ยูนิต เอ 1-2 ถ.พหลโยธิน ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,,มี
518,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาโรบินสันรังสิต),เลขที่ 94 ชั้น 3 เอฟ ถ.พหลโยธิน ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,02-206-9300,ไม่มี
519,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาปทุมธานี),99/10 หมู่ที่ 5  ต.บางเดื่อ อ.เมืองปทุมธานี จ.ปทุมธานี 12000,,มี
520,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขารังสิต 1),13/214 หมู่ที่ 2 ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,มี
521,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาลำลูกกา),67 หมู่ที่ 11 ต.ลำลูกกา อ.ลำลูกกา จ.ปทุมธานี 12150,,มี
522,บริษัท บุญถาวรเซรามิค จำกัด สาขาหัวหิน,4/48 ซ.หมู่บ้านบ่อฝ้าย ต.หัวหิน อ.หัวหิน จ.ประจวบคีรีขันธ์ 77110,02-693-1108-17,มี
523,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาศรีมหาโพธิ),898 หมู่ที่ 7 ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,,มี
524,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาอี-คอมเมิร์ช),345 หมู่ที่ 5 ต.บ่อตาโล่ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,035-950-100#1148,ไม่มี
525,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาพิษณุโลก),788 หมู่ 7 ต.สมอแข อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,055-232400,มี
526,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาชะอำ),829 ถ.เพชรเกษม(บ่อแขม)  ต.ชะอำ อ.ชะอำ จ.เพชรบุรี 76120,,มี
527,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาเพชรบุรี),120 หมู่ที่ 9 ต.ท่าเสน อ.บ้านลาด จ.เพชรบุรี 76150,,มี
528,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาเพชรบูรณ์),40 หมู่ 5  ต.บ้านโตก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67000,,มี
529,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาภูเก็ต 1),79 หมู่ 5 ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000,,มี
530,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาภูเก็ต),46/13 หมู่ที่ 5  ต.ศรีสุนทร อ.ถลาง จ.ภูเก็ต 83110,,มี
531,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขามหาสารคาม),303 หมู่ 11  ต.เกิ้ง อ.เมืองมหาสารคาม จ.มหาสารคาม 44000,,มี
532,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขามุกดาหาร),311 ถ.ชยางกูร ข ต.มุกดาหาร อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,,มี
533,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาร้อยเอ็ด),444 หมู่ 7  ต.ดงลาน อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000,,มี
534,บริษัท บุญถาวรเซรามิค จำกัด สาขาระยอง,88/89 หมู่ที่ 4 ต.ทับมา อ.เมืองระยอง จ.ระยอง 21000,,มี
535,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาระยอง),999/9 หมู่ 1  ต.เชิงเนิน อ.เมืองระยอง จ.ระยอง 21000,,มี
536,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาบ้านฉาง),55/4 หมู่ที่ 1 ต.บ้านฉาง อ.บ้านฉาง จ.ระยอง 21130,,มี
537,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาลพบุรี),555 หมู่ 4  ต.กกโก อ.เมืองลพบุรี จ.ลพบุรี 15000,,มี
538,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาลำปาง),70 ถ.ไฮเวย์-ลำปาง-งาว  ต.ชมพู อ.เมืองลำปาง จ.ลำปาง 52100,,มี
539,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาสกลนคร),333 หมู่ 15 ต.ห้วยยาง อ.เมืองสกลนคร จ.สกลนคร 47000,,มี
540,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาหาดใหญ่),1119 หมู่ 1 ถ.เลี่ยงเมือง (สายเอเชีย) ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110,,มี
541,บริษัท บุญถาวรเซรามิค จำกัด สาขาสุวรรณภูมิ,15/2 หมู่ที่ 14 ถ.บางนา-ตราด ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,,มี
542,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด,88/88 หมู่ที่ 13 ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540,02-2069300,ไม่มี
543,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาไดเร็คเซลส์),88/88 หมู่ที่ 13 ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540,,ไม่มี
544,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาบางนา),54 หมู่ที่ 13  ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540,02-206-9300,มี
545,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาบางพลี),111/15 หมู่ที่ 9  ต.บางปลา อ.บางพลี จ.สมุทรปราการ 10540,02-100-8742,มี
546,บริษัท บุญถาวรเซรามิค จำกัด สาขาพระราม 2,82/4 หมู่ที่ 1 ต.บางน้ำจืด อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,,มี
547,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขามหาชัย),5/5 หมู่ 3 ต.นาดี อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,,มี
548,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาอ้อมน้อย),200/101 หมู่ที่ 6 ต.อ้อมน้อย อ.กระทุ่มแบน จ.สมุทรสาคร 74130,,มี
549,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาสระบุรี),88/9 หมู่ที่ 8  ต.ตลิ่งชัน อ.เมืองสระบุรี จ.สระบุรี 18000,,มี
550,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาสุพรรณบุรี),77/7 หมู่ 4  ต.สนามชัย อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72000,,มี
551,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาสุราษฎร์ธานี),43 หมู่ 1 ต.ท่าทองใหม่ อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84290,,มี
552,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาสุรินทร์),322 หมู่ 2  ต.นอกเมือง อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,,มี
553,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาหนองบัวลำภู),310 หมู่ที่ 5  ต.หนองภัยศูนย์ อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู 39000,,มี
554,บริษัท บุญถาวรเซรามิค จำกัด สาขาอุดรธานี,534 หมู่ที่ 4 ต.บ้านเลื่อม อ.เมืองอุดรธานี จ.อุดรธานี 41000,,มี
555,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาอุดรธานี),608 หมู่ที่ 4 ต.หนองขอนกว้าง อ.เมืองอุดรธานี จ.อุดรธานี 41000,,มี
556,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด(สาขาอุบลราชธานี),267 หมู่ 7  ต.แจระแม อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,,มี
557,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาแฟชั่น ไอส์แลนด์,"587,589 ถ.รามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230",947-6365,มี
558,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขารัชดาภิเษก,125 ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10320,641-2900,มี
559,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาฟิวเจอร์มาร์ท,295 ถ.พระราม 3 แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพมหานคร 10120,689-0844,มี
560,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาเดอะมอลล์บางแค,518 ถ.เพชรเกษม แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,454-9299,มี
561,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาเพลินจิต,55 ถ.วิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,02-655-3400,ไม่มี
562,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาพาราไดซ์ พาร์ค,61 ถ.ศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,746-0377,มี
563,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขารามคำแหง,647/19 ถ.รามคำแหง (สุขาภิบาล3) แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,958-5678,มี
564,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาพระราม 2,45/581 หมู่ที่ 6 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,มี
565,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาลาดพร้าว,669 ถ.ลาดพร้าว แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,02-832-1472-78,มี
566,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาเอกมัย - รามอินทรา,41 ถ.ประดิษฐ์มนูธรรม แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,มี
567,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาเพชรเกษม,224 ถ.เพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,,มี
568,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาสุขาภิบาล 3,101 ถ.รามคำแหง แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,,มี
569,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาพระราม 3,497/1 ถ.พระรามที่ 3 แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,02-029-7500,มี
570,บริษัท โฮมโปรดักส์ เซ็นเตอร์ จำกัด(มหาชน) สาขาพระราม9,903 ถ.พระราม9 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,02-029-7600,มี
571,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาโลตัส บางแค,266 ถ.เพชรเกษม แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,,มี
572,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขากัลปพฤกษ์,604 ถ.กัลปพฤกษ์ แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160,,มี
573,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาจรัญสนิทวงศ์,110/8 ถ.จรัญสนิทวงศ์ แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,มี
574,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาศูนย์การค้าแฟชั่นไอส์แลนด์,589/10 ถ.รามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230,02-029-7700,มี
575,บริษัท เมกา โฮม เซ็นเตอร์ จำกัด สาขามีนบุรี,81 ถ.สุวินทวงศ์ แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,,มี
576,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขากระบี่,349 หมู่ 11 ต.กระบี่น้อย อ.เมืองกระบี่ จ.กระบี่ 81000,,มี
577,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขากาญจนบุรี,15 หมู่ที่ 1 ต.ท่าล้อ อ.ท่าม่วง จ.กาญจนบุรี 71000,,มี
578,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาขอนแก่น,177/98 หมู่ที่ 17 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,มี
579,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาจันทบุรี,21/18 หมู่ 11  ต.พลับพลา อ.เมืองจันทบุรี จ.จันทบุรี 22000,039-419000,มี
580,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาฉะเชิงเทรา,187/9 ถ.ฉะเชิงเทรา-บางปะกง ต.หน้าเมือง อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,038-812023,มี
581,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาพัทยา,333 ม.9 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20260,,มี
582,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาชลบุรี,15/16 หมู่ที่ 3 ต.ห้วยกะปิ อ.เมืองชลบุรี จ.ชลบุรี 20000,,มี
583,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาศรีราชา,99/123 หมู่ที่ 10  ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20110,,มี
584,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาพัทยาเหนือ,384/40 หมู่ที่ 6 ต.นาเกลือ อ.บางละมุง จ.ชลบุรี 20150,02-832-1000,มี
585,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาชลบุรี (อมตะ),108 หมู่ที่ 12 ต.นาป่า อ.เมืองชลบุรี จ.ชลบุรี 20000,02-832-1000,มี
586,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาบางเสร่,133 หมู่ที่ 8 ต.นาจอมเทียน อ.สัตหีบ จ.ชลบุรี 20250,,มี
587,บริษัท เมกา โฮม เซ็นเตอร์ จำกัด สาขาบ่อวิน,333/143 หมู่ที่ 3  ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,,มี
588,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาชัยภูมิ,164 หมู่ที่ 7 ต.หนองนาแซง อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,,มี
589,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาชุมพร,63 หมู่ 11  ต.วังไผ่ อ.เมืองชุมพร จ.ชุมพร 86000,,มี
590,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาเชียงราย,157 หมู่ที่ 2  ต.ท่าสาย อ.เมืองเชียงราย จ.เชียงราย 57000,,มี
591,บริษัท เมกา โฮม เซ็นเตอร์ จำกัด สาขาเชียงราย,515 หมู่ที่ 9 ต.บ้านดู่ อ.เมืองเชียงราย จ.เชียงราย 57100,052-024-141,มี
592,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาเชียงใหม่,94 หมู่4 ถ.เชียงใหม่-ลำปาง ต.หนองป่าครั่ง อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000,(053)851-515,มี
593,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาหางดง,433/4-5 หมู่ 7 ต.แม่เหียะ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100,,มี
594,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาเชียงใหม่ (สันทราย),49 หมู่ที่ 4  ต.สันทรายน้อย อ.สันทราย จ.เชียงใหม่ 50210,,มี
595,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาตรัง,196 หมู่ 4  ต.บ้านควน อ.เมืองตรัง จ.ตรัง 92000,,มี
596,บริษัท เมกา โฮม เซ็นเตอร์ จำกัด สาขาแม่สอด,1108 หมู่ที่ 1  ต.ท่าสายลวด อ.แม่สอด จ.ตาก 63110,,มี
597,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขานครปฐม,752/3 ถ.เพชรเกษม ต.ห้วยจรเข้ อ.เมืองนครปฐม จ.นครปฐม 73000,,มี
598,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาพุทธมณฑล สาย5,198 หมู่ที่ 1  ต.บางเตย อ.สามพราน จ.นครปฐม 73210,054-532-222,มี
599,บริษัท เมกา โฮม เซ็นเตอร์ จำกัด สาขานครพนม,333/7 ถ.นิตโย ต.หนองญาติ อ.เมืองนครพนม จ.นครพนม 48000,042-064-111,มี
600,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาเดอะมอลล์ นครราชสีมา,1242/2 ถ.มิตรภาพ ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,(044)288-345,ไม่มี
601,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาเขาใหญ่,288 หมู่ 11 ต.หนองน้ำแดง อ.ปากช่อง จ.นครราชสีมา 30130,,มี
602,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขานครราชสีมา,384 ซ.มิตรภาพ 8 ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,,มี
603,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขานครราชสีมา(หัวทะเล),233 หมู่ที่ 1  ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,,มี
604,บริษัท เมกา โฮม เซ็นเตอร์ จำกัด สาขานครราชสีมา,668 หมู่ที่ 8 ต.หมื่นไวย อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,044-003-500,มี
605,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขานครศรีธรรมราช,89 ถ.นคร-ปากพนัง ต.ในเมือง อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,,มี
606,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขานครสวรรค์,119/2 หมู่ 7  ต.บางม่วง อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,,มี
607,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขารัตนาธิเบศร์,6/1 หมู่ 6 ถ.ตลิ่งชัน- สุพรรณบุรี ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140,,มี
608,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน),31 ถ.ประชาชื่นนนทบุรี ต.บางเขน อ.เมืองนนทบุรี จ.นนทบุรี 11000,,มี
609,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาแจ้งวัฒนะ,113 ม.5 ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120,,มี
610,บริษัท โฮมโปรดักส์เซ็นเตอร์ จำกัด(มหาชน) สาขาราชพฤกษ์,82 ม.2 ต.บางขุนกอง อ.บางกรวย จ.นนทบุรี 11130,,มี
611,บริษัท โฮมโปรดักส์ เซ็นเตอร์ จำกัด(มหาชน) สาขาชัยพฤกษ์,54/8 หมู่ที่ 2 ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120,"02-832-1000, 02-029-7230",มี
